ID	citation	author	title	year	source	details	doi	link	remarks
81		Burchell WJ	Travels in the Interior of Southern Africa. 	1822		Longman, Hurst, Rees, Orme, and Brown, London, 586 pp. 			
151		Español F	Nuevos datos para el conocimiento de los tenebrionidos (Col.) del Sahara.	1944		Eos, Revista Española de Entomología 20: 7–30.			
48		Fairmaire L	Coléoptères de l’Afrique intertropicale et Australe (deuxième note).	1894		Annales de la Société Entomologique de Belgique 38(6): 314–335.			
52		Quedenfeldt G	Beiträge zur Kenntniss der Koleopteren-Fauna von Central-Afrika nach den Ergebnissen der Lieutenant Wissman’schen Kassai-Expedition 1883 bis 1886. 	1888		Berliner entomologische Zeitschrift 32: 155–219.			
76		Kirby WF	A century of insects, including several new genera described from his cabinet.	1819		The Transactions of the Linnean Society of London 12 [1817] (2): 375–482			
77		Gemminger M	[new names].	1870		In: Harold E von (Ed.) Geänderte Namen. Coleopterologische Hefte 6: 119–124. 			
6		Haag-Rutenberg G	Beiträge zur Familie der Tenebrioniden II. Stück).	1871a		Coleopterologische Hefte VII 21–111.			
18		Thunberg CP	Museum Naturalium Academiae Uppsaliensis	1787		Cujus partem quartam. Publico examini subjicit P. Bjerkén. Joh. Edman, Uppsaliae [2] + 43–58 pp.			
30		Quedenfeldt G	Verzeichniss der von Herrn Major a. D. von Mechow in Angola und am Quango-Strom 1878–1881 gesammelten Tenebrioniden und Cisteliden. 	1885		Berliner entomologische Zeitschrift 29: 1–38. 			
119		Guérin-Méneville FE	Description de deux coléoptères du genre Sepidium, dont l’un est pentamère et paraít étre le male, et l’autre est hétéromère.	1858		Revue de Zoologie Pure et Appliquée (2) 10: 127–129. 			
155		Sahlberg F	Coleoptera Numido-Punica.	1903		Ofversigt Finska Forhandlingar XLV: 1–70.			
172		Fabricius JC	Supplementum Entomologia systematica.	1798		Proft & Storch, Hafniae, 572 pp.			
11		Koch C	The Tenebrionidae of Southern Africa XXXII New psammophilous species from the Namib Desert	1962b		Annals of the Transvaal Museum 24 107–159			
14		Péringuey LA	First contribution to the South-African Coleopterous Fauna.	1885		Transactions of the South African philosophical Society 3 74–149			
130		Antoine M	Notes d’entomologie Marocaine. 	1932		Bulletin de la Société des Sciences Naturelles du Maroc 12: 173–188. 			
152		Kulzer H	Einige neue Tenebrioniden (Col.). 	1960		Entomologische Arbeiten aus dem Museum G. Frey Tutzing bei München 11: 304–432.			
169		Haag-Rutenberg, 1878	Beschreibung neuer Arten von Heteromeren als Nachtrag zu Monographie, von Dr. Haag-Rutenberg	1878		Mittheilungen des Münchener Entomologischen Vereins, 1878: 77-95.			
31		Fairmaire, 1899	La Faune entomologique du Delagoa. In: Junod, HA Missionnaire avec la collaboration du Prof. E Bugnion.	1899		Bulletin de la Société Vaudoise des Sciences Naturelles, XXXV: 162–188.			
50		Koch C	" The Tenebrionidae of southern Africa XVII Contributions to the fauna of Angola."	1953b		Publicações Culturais da Companhia de Diamantes de Angola 16: 61–96.			
113		Kolbe HJ	Neue Coleoptera von Westafrika. 	1883		Berliner entomologische Zeitschrift 27: 15–36.			
150		Mal N	Additions au genere Vietomorpha Fairmaire, 1887 (Coleoptera Tenebrionidae).	1986a		Monitore Zoologico Italiano. Supplemento, 21: 11–24			
42		Fairmaire L	[new taxa]. 	1882a		In: Fairmaire L, Lansberge V, Bourgeois J. Mission G. Révoil aux Pays Çomalis. Faune et Flore. Coléoptères recueillis par MG Révoil chez les Çomalis. Descriptions. Challamel Ainé, Paris, iv + 104 pp, 1 pl. [VI–1882]. 			
95		Guérin-Méneville FE	Description de quelques insectes les plus remarquables du Pays des Boshimans, des Ama-Zoulous, des Massilicatzi et du Port Natal.	1854		Revue Zoologique 8: 283-286.			
109		Penrith M-L	Revision of the genus Tarsocnodes Gebien (Coleoptera: Tenebrionidae: Molurini), and a description of a monotypical genus from the Kalahari.	1987		Cimbebasia Series 7: 236–270.  			
142		Gahan CJ	On Coleoptera from Aden and Somaliland.	1896		Annals and Magazine of Natural History 6(18): 448–461.			
2		Gebien H	Pars 15. Tenebrionidae I [pp. 1–166].	1910b		In Schenkling S Ed) Coleopterorum Catalogus Volumen XVIII. W. Junk, Berlin, 742 pp.			
13		Penrith M-L	Revision of the genera Bombocnodulus Koch and Brinckia Koch Coleoptera Tenebrionidae Molurini).	1986		Journal of the Entomological Society of Southern Africa 49 55–85			
22		Wilke S	Die Molurinen-Gattung Phrynocolus Lac. (Col., Tenebr.).	1921		Archiv für Naturgeschichte 87: 161–174.			
23		Koch C	Tenebrionidae of Angola.	1958		Publicacões Culturais da Companhia de Diamantes de Angola 39: 11–231.			
41		Kolbe HJ	Zu Phrynocolis Lac. (Coleoptera) 	1885		Berliner entomologische Zeitschrift, 29: 112.			
58		Gahan CJ	[new species description].	1900		On a Collection, of Insects and Arachnids made in 1895 and 1897, by C V A Peel, FZS, in Somaliland, with Descriptions of new Species. By CVA Peel, FZS, EF Austen, FA. Dixey, MA, MD, Herbert Drece, FLS, FZS, CJ Gahax, MA, Gilbert J Arrow, R McLachlan, FRS., Malcolm Burr, FZS, and RI Pocock. Proceedings of the General Meetings for Scientific Business of the Zoological Society of London, 1259 pp.			
88		Gebien H	Die Tenebrioniden (Coleoptera Heteromera) der Namibwüste in Südwestafrika.	1938		Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen 30: 20–107.			
153		Mal N	Une espèce de Sepidium afine à S. bidentatum Solier, et description d´une espèce nouvelle de Portugal.	1984		L´Entomologiste 40: 193–204.			
174		Thunberg CP	Dissertatio entomologica novas insectorum species. 6. (Dissertatio resp. A. J. Lagus). 	1791		Joh. Edman, Uppsaliae, i–iv, 107–130.			
54		Fairmaire L	Coléoptères nouveaux de l’Afrique intertropicale et Australe (4e note).	1897		Annales de la Société Entomologique de France 66: 109–155.			
